IMU-Ang-pitch,IMU-Ang-roll,IMU-Ang-yaw,IMU-Lin-x,IMU-Lin-y,IMU-Lin-z
0.0007805415079928935,0.0009219866478815675,0.0003530302201397717,-0.010188840329647064,0.004279865883290768,-9.790514945983887
4.465600795811042e-05,-0.000683815567754209,0.0003981681074947119,-3.0367188453674316,0.026304515078663826,-9.363614082336426
0.0022651986218988895,0.0003291094326414168,-0.0007911435095593333,4.518789768218994,0.018003325909376144,-8.68057632446289
-0.0004838239401578903,-0.00040109033579938114,-0.00025555872707627714,4.506064414978027,0.003053209977224469,-8.762401580810547
0.00019490293925628066,0.000998768606223166,0.0018910533981397748,4.474361896514893,0.033740248531103134,-8.6777982711792
0.0017116874223574996,-0.0019576502963900566,0.0006300546228885651,-0.02669507823884487,-0.04205630347132683,-9.776473999023438
0.00019100391364190727,0.0007908066618256271,0.0013936671894043684,-3.042219638824463,-0.000790692400187254,-9.342676162719727
-0.0020433019381016493,0.0009493462275713682,0.0007060603820718825,4.4961838722229,0.014293965883553028,-8.754287719726562
-0.00040724885184317827,-0.04728100821375847,0.001072334824129939,4.584892749786377,0.007266415748745203,-8.657814025878906
0.0006000493885949254,-0.004486315418034792,0.00227022310718894,4.4562530517578125,-0.019034650176763535,-8.727508544921875
-0.0010716482065618038,-0.001453294767998159,-0.0005650403909385204,0.013353994116187096,-0.04937715455889702,-9.812826156616211
-0.0006901813321746886,-0.0003631844592746347,0.002490522339940071,-3.034451961517334,0.0005148700438439846,-9.355194091796875
0.002297129714861512,-0.0005238964222371578,-0.0014881587121635675,4.494802474975586,0.014877154491841793,-8.711519241333008
0.0002120465796906501,-0.0078741991892457,-0.0006092843832448125,4.489168643951416,-5.407030039350502e-05,-8.688312530517578
-0.0006434225360862911,-0.0015165493823587894,-0.0021055929828435183,4.5123610496521,0.0169357992708683,-8.67233657836914
